last_name,first_name,birthMonth,birthDay,group,isCharacter,isSeiyuu,isEnglishVA,name,name_JP_order,nickname,hint
Suzuhara,Nozomi,11,1,group4,0,1,0,Nozomi Suzuhara,Suzuhara Nozomi,Non-chan,voices Kinako
Yabushima,Akane,7,18,group4,0,1,0,Akane Yabushima,Yabushima Akane,Yabu-chan,voices Mei
Ookuma,Wakana,4,13,group4,0,1,0,Wakana Ookuma,Ookuma Wakana,Kuma-chan,voices Shiki
Emori,Aya,2,23,group4,0,1,0,Aya Emori,Emori Aya,Emorin,voices Natsumi
Sakakura,Sakura,4,3,group4,0,1,0,Sakura Sakakura,Sakakura Sakura,Saku-chan,voices Tomari
,Yuina,9,27,group4,0,1,0,Yuina,Yuina,Yuina,voices Margarete
Nirei,Nozomi,5,21,group5,0,1,0,Nozomi Nirei,Nirei Nozomi,Nonsuke,voices Kaho
Nonaka,Kokona,1,28,group5,0,1,0,Kokona Nonaka,Nonaka Kokona,Nassu-chan,voices Sayaka
Hanamiya,Nina,10,24,group5,0,1,0,Nina Hanamiya,Hanamiya Nina,Ui-chan,voices Kozue
Kotoko,Sasaki,8,28,group5,0,1,0,Sasaki Kotoko,Kotoko Sasaki,Kocchan,voices Tsuzuri
Kanna,Kan,11,19,group5,0,1,0,Kan Kanna,Kanna Kan,Kankan,voices Rurino
Tsukine,Kona,8,20,group5,0,1,0,Kona Tsukine,Tsukine Kona,Konachi,voices Megumi
Sakurai,Hina,9,17,group5,0,1,0,Hina Sakurai,Sakurai Hina,Hiichan,voices Ginko
Hayama,Fuka,1,28,group5,0,1,0,Fuka Hayama,Hayama Fuka,Fuuchan,voices Kosuzu
Kurusu,Rin,11,8,group5,0,1,0,Rin Kurusu,Kurusu Rin,Rin-chan / Rinrin,voices Hime
Mendez,Erica,2,13,group1,0,0,1,Erica Mendez,Erica Mendez,Erica M.,voices Nico
Sato,Hina,12,23,ss,0,1,0,Hina Sato,Sato Hina,Hinahina,voices Leah
Tano,Asami,2,12,ss,0,1,0,Asami Tano,Tano Asami,Asamin,voices Sarah
Yoshitake,Chihaya,3,28,sunnypa,0,1,0,Chihaya Yoshitake,Yoshitake Chihaya,Chiha-chan,voices Yuna
Yuki,Yuna,6,9,sunnypa,0,1,0,Yuna Yuki,Yuki Yuna,Yunana,voices Mao
Herington,Marieve,2,22,group1,0,0,1,Marieve Herington,Marieve Herington,NA,voices Honoka
Lindbeck,Erica,5,29,group1,0,0,1,Erica Lindbeck,Erica Lindbeck,Erica L.,voices Eli
Vee,Cristina,7,11,group1,0,0,1,Cristina Vee,Cristina Vee,NA,voices Kotori
Buckland,Kira,7,16,group1,0,0,1,Kira Buckland,Kira Buckland,NA,voices Umi
Mata,Faye,9,2,group1,0,0,1,Faye Mata,Faye Mata,NA,voices Rin
Glass,Caitlin,11,16,group1,0,0,1,Caitlin Glass,Caitlin Glass,NA,voices Maki
Post,Laura,6,23,group1,0,0,1,Laura Post,Laura Post,NA,voices Nozomi
Huynh,Xanthe,6,22,group1,0,0,1,Xanthe Huynh,Xanthe Huynh,NA,voices Hanayo
Saxton,Jad,9,27,group2,0,0,1,Jad Saxton,Jad Saxton,NA,voices Chika
Tirado,Jeannie,7,19,group2,0,0,1,Jeannie Tirado,Jeannie Tirado,NA,voices Riko
Rojas,Michelle,12,16,group2,0,0,1,Michelle Rojas,Michelle Rojas,NA,voices Kanan
Garrett,Morgan,9,4,group2,0,0,1,Morgan Garrett,Morgan Garrett,NA,voices Dia
Yu,Apphia,10,9,group2,0,0,1,Apphia Yu,Apphia Yu,NA,voices You
Berry,Morgan,4,27,group2,0,0,1,Morgan Berry,Morgan Berry,NA,voices Yoshiko
Shipman,Megan,3,13,group2,0,0,1,Megan Shipman,Megan Shipman,NA,voices Hanamaru
Jamie,Marchi,10,8,group2,0,0,1,Marchi Jamie,Marchi Jamie,NA,voices Mari
Wiedenheft,Sarah,7,3,group2,0,0,1,Sarah Wiedenheft,Sarah Wiedenheft,Sarah W.,voices Ruby
